"TPR","TNR","FDR","F1","MCC","alpha_bias","fp_bias","MSE_theta","exact_match","method","rep","scenario"
1,1,0,1,1,0.100450712595436,0,0.0366441580353608,1,"scad",1,"S01_base"
1,1,0,1,1,0.100451078660878,0,0.036644576501217,1,"mcp",1,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.205747066727306,0.00509110916957247,0.0131031782610096,0,"lasso",1,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.234071758336645,0.00557097066898523,0.0147964570501666,0,"enet",1,"S01_base"
1,1,0,1,1,0.100439626855615,0,0.00879692569510583,1,"scad_pool",1,"S01_base"
1,1,0,1,1,0.100451078660878,0,0.00879765658219804,1,"mcp_pool",1,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.156754155513415,0.000420734753336238,0.031013114927892,0,"scad",2,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.156648025970578,2.84406086814219e-06,0.030773397207449,0,"mcp",2,"S01_base"
1,0.659090909090909,0.714285714285714,0.444444444444444,0.433948946665029,0.229154890540145,0.00511861185252778,0.0153430259143265,0,"lasso",2,"S01_base"
1,0.75,0.647058823529412,0.521739130434783,0.514495755427526,0.2803133398757,0.00343329099120928,0.0186082112864626,0,"enet",2,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.156754155513415,0.000420734753336238,0.0116240052803944,0,"scad_pool",2,"S01_base"
1,1,0,1,1,0.156641709405667,0,0.011609507298674,1,"mcp_pool",2,"S01_base"
1,0.840909090909091,0.538461538461538,0.631578947368421,0.622986266391072,0.106799650224996,0.00201901934189287,0.0474921636495643,0,"scad",3,"S01_base"
1,1,0,1,1,0.118846232459225,0,0.0471783715466948,1,"mcp",3,"S01_base"
1,0.590909090909091,0.75,0.4,0.384353057392904,0.183913671242613,0.00644100862605059,0.00887973008226399,0,"lasso",3,"S01_base"
1,0.113636363636364,0.866666666666667,0.235294117647059,0.123091490979333,0.110084333763535,0.0390909173330799,0.0075373058902174,0,"enet",3,"S01_base"
